,Name,Pos,Org,Top 100,Org Rk,Age_x,TJ Date,FB Type,FB,SL,CB,CH,CMD,RPM FB,RPM Break,Sits,Tops,FV,playerId,avg_fastest_speed,avg_spin,K/9,IP,BB/9,Age_y,ERA,height,weight,throws
0,Grayson Rodriguez,SP,BAL,10.0,2,21.8972222,,Tail,60 / 60,50 / 55,55 / 55,55 / 60,40 / 50,2400.0,2650.0,"['90', '95']",97.0,60,sa3008130,92.5,2525.0,11.86,113.1,3.9,—,2.461765438,"6' 5""",230,R
1,D.L. Hall,MIRP,BAL,28.0,3,23.0555555,,Tail,60 / 60,,55 / 60,55 / 60,30 / 40,2400.0,2500.0,"['93', '96']",98.0,55,sa3005282,94.5,2450.0,11.11,175.0,5.5,—,2.725714286,"6' 0""",195,L
2,Hunter Greene,SP,CIN,34.0,2,22.175,4/9/2019,Tail,60 / 65,50 / 55,,45 / 55,35 / 60,2300.0,2325.0,"['95', '98']",103.0,50,sa3005315,96.5,2312.5,11.76,68.1,3.83,—,4.478051114,"6' 4""",215,R
3,Quinn Priester,SP,PIT,35.0,2,21.0666666,,Rise,55 / 55,,70 / 80,,30 / 45,2150.0,2500.0,"['94', '97']",99.0,50,sa3011297,95.5,2325.0,10.19,36.2,4.72,—,3.190906324,"6' 3""",210,R
4,Sixto Sanchez,SP,MIA,36.0,2,23.1944444,,Tail,60 / 60,50 / 50,,60 / 70,50 / 55,2100.0,2400.0,"['95', '99']",101.0,50,19680,97.0,2250.0,8.31,160.2,2.08,—,2.688796148,"6' 0""",234,R
5,Edward Cabrera,SP,MIA,40.0,3,23.4888888,,Tail,60 / 60,50 / 60,,45 / 55,45 / 50,2250.0,2300.0,"['93', '97']",99.0,50,21690,95.0,2275.0,9.55,197.0,4.02,—,3.243659784,"6' 4""",217,R
6,George Kirby,SP,SEA,41.0,4,23.6694444,,Rise,60 / 60,40 / 45,50 / 50,45 / 50,55 / 70,2150.0,2300.0,"['95', '99']",100.0,50,sa3011526,97.0,2225.0,9.78,23.0,0.0,—,2.347826087,"6' 4""",215,R
7,Jordan Balazovic,SP,MIN,44.0,2,23.0611111,,Rise,55 / 55,50 / 55,55 / 55,40 / 45,45 / 55,2150.0,2200.0,"['91', '94']",96.0,50,sa918017,92.5,2175.0,12.01,155.1,3.02,—,3.186693936,"6' 4""",215,R
8,Matthew Liberatore,SP,STL,45.0,2,21.925,,Sink,45 / 50,45 / 55,60 / 60,50 / 55,35 / 55,2000.0,2800.0,"['92', '95']",97.0,50,sa3008163,93.5,2400.0,9.16,111.0,4.14,—,2.594594639,"6' 5""",200,L
9,Roansy Contreras,SP,PIT,49.0,3,21.9222222,,Rise,50 / 55,50 / 55,,50 / 55,45 / 50,2400.0,2500.0,"['92', '95']",96.0,50,22810,93.5,2450.0,7.98,195.2,2.9,—,3.035779399,"6' 0""",175,R
